,name,mp,3pa,2pa,reb,ast,stl,blk
0,Ivica Zubac,24.4,0.0,6.5,8.5,1.6,0.5,1.0
1,Cody Zeller,13.1,0.1,3.2,4.6,0.8,0.3,0.2
2,Omer Yurtseven,12.6,0.2,4.2,5.3,0.9,0.3,0.4
3,Christian Wood,30.8,4.9,8.0,10.1,2.3,0.8,1.0
4,Robert Williams,29.6,0.0,6.0,9.6,2.0,0.9,2.2
5,Hassan Whiteside,17.9,0.0,5.1,7.6,0.4,0.3,1.6
6,Moritz Wagner,15.2,3.2,3.1,3.7,1.4,0.3,0.2
7,Nikola Vučević,33.1,4.5,11.3,11.0,3.2,1.0,1.0
8,Jonas Valančiūnas,30.3,2.1,10.5,11.4,2.6,0.6,0.8
9,Myles Turner,29.4,4.4,5.0,7.1,1.0,0.7,2.8
10,Karl-Anthony Towns,33.5,4.9,11.5,9.8,3.6,1.0,1.1
11,Killian Tillie,12.8,2.4,1.1,1.7,0.6,0.6,0.4
12,Daniel Theis,20.8,2.3,3.9,4.9,0.9,0.4,0.7
13,Jon Teske,2.7,0.0,0.3,0.7,0.3,0.3,0.0
14,Isaiah Stewart,25.6,0.6,6.3,8.7,1.2,0.3,1.1
15,Marko Simonovic,3.9,0.6,1.1,1.1,0.0,0.1,0.1
16,Alperen Şengün,20.7,1.6,5.7,5.5,2.6,0.8,0.9
17,Olivier Sarr,19.1,1.3,3.3,4.2,0.9,0.3,0.7
18,Jeremiah Robinson-Earl,22.2,3.4,3.2,5.6,1.0,0.6,0.3
19,Mitchell Robinson,25.7,0.0,4.8,8.6,0.5,0.8,1.8
20,Nick Richards,7.3,0.0,1.8,1.7,0.3,0.2,0.4
21,Naz Reid,15.8,2.2,4.0,3.9,0.9,0.5,0.9
22,Paul Reed,7.9,0.2,2.3,2.4,0.4,0.9,0.4
23,Neemias Queta,8.6,0.0,2.7,2.2,0.4,0.1,0.6
24,Dwight Powell,21.9,0.5,4.4,4.9,1.2,0.5,0.5
25,Micah Potter,10.3,0.7,3.0,3.0,0.0,0.3,0.3
26,Bobby Portis,28.2,4.7,7.4,9.1,1.2,0.7,0.7
27,Jakob Poeltl,29.0,0.0,9.7,9.3,2.8,0.7,1.7
28,Mason Plumlee,24.6,0.0,4.4,7.7,3.1,0.8,0.7
29,Norvel Pelle,6.3,0.0,1.7,2.0,0.0,0.0,0.3
30,Daniel Oturu,9.0,0.3,1.7,1.7,0.0,0.0,0.7
31,Kelly Olynyk,19.1,3.0,4.2,4.4,2.8,0.8,0.5
32,Onyeka Okongwu,20.7,0.0,4.7,5.9,1.1,0.6,1.3
33,Jusuf Nurkić,28.2,1.0,9.7,11.1,2.8,1.1,0.6
34,Nerlens Noel,22.5,0.1,2.3,5.6,0.9,1.2,1.2
35,Mike Muscala,13.8,3.8,2.0,3.0,0.5,0.4,0.6
36,Greg Monroe,13.9,0.0,4.1,4.6,1.6,0.6,0.7
37,Chimezie Metu,21.3,3.1,4.4,5.6,1.0,0.9,0.5
38,JaVale McGee,15.8,0.1,6.1,6.7,0.6,0.3,1.1
39,Boban Marjanović,5.6,0.2,2.9,1.7,0.1,0.0,0.1
