,name,mp,3pa,2pa,3p,2p,reb,ast,stl,blk,salary
0,Ivica Zubac,24.4,0,6.5,0,4.1,8.5,1.6,0.5,1,"7,518,518"
1,Cody Zeller,13.1,0.1,3.2,0,1.9,4.6,0.8,0.3,0.2,"2,389,641"
2,Omer Yurtseven,12.6,0.2,4.2,0,2.3,5.3,0.9,0.3,0.4,"1,489,065"
3,Christian Wood,30.8,4.9,8,1.9,4.5,10.1,2.3,0.8,1,"13,666,667"
4,Robert Williams,29.6,0,6,0,4.4,9.6,2,0.9,2.2,"3,661,976"
5,Hassan Whiteside,17.9,0,5.1,0,3.3,7.6,0.4,0.3,1.6,"2,401,537"
6,Moritz Wagner,15.2,3.2,3.1,1,2.1,3.7,1.4,0.3,0.2,"1,729,217"
7,Nikola Vučević,33.1,4.5,11.3,1.4,6.1,11,3.2,1,1,"24,000,000"
8,Jonas Valančiūnas,30.3,2.1,10.5,0.8,6.1,11.4,2.6,0.6,0.8,"14,000,000"
9,Myles Turner,29.4,4.4,5,1.5,3.3,7.1,1,0.7,2.8,"18,000,000"
10,Karl-Anthony Towns,33.5,4.9,11.5,2,6.6,9.8,3.6,1,1.1,"31,610,000"
11,Killian Tillie,12.8,2.4,1.1,0.8,0.4,1.7,0.6,0.6,0.4,"2,000,000"
12,Daniel Theis,20.8,2.3,3.9,0.7,2.5,4.9,0.9,0.4,0.7,"8,372,093"
13,Isaiah Stewart,25.6,0.6,6.3,0.2,3.3,8.7,1.2,0.3,1.1,"3,277,080"
14,Alperen Şengün,20.7,1.6,5.7,0.4,3.1,5.5,2.6,0.8,0.9,"3,214,680"
15,Olivier Sarr,19.1,1.3,3.3,0.6,2,4.2,0.9,0.3,0.7,"223,339"
16,Jeremiah Robinson-Earl,22.2,3.4,3.2,1.2,1.6,5.6,1,0.6,0.3,"2,000,000"
17,Mitchell Robinson,25.7,0,4.8,0,3.6,8.6,0.5,0.8,1.8,"1,802,057"
18,Naz Reid,15.8,2.2,4,0.7,2.3,3.9,0.9,0.5,0.9,"1,782,621"
19,Dwight Powell,21.9,0.5,4.4,0.2,3.1,4.9,1.2,0.5,0.5,"11,000,000"
20,Micah Potter,10.3,0.7,3,0,1.7,3,0,0.3,0.3,"53,176"
21,Bobby Portis,28.2,4.7,7.4,1.8,3.9,9.1,1.2,0.7,0.7,"4,347,600"
22,Jakob Poeltl,29,0,9.7,0,6,9.3,2.8,0.7,1.7,"8,750,000"
23,Mason Plumlee,24.6,0,4.4,0,2.8,7.7,3.1,0.8,0.7,"8,137,500"
24,Kelly Olynyk,19.1,3,4.2,1,2.2,4.4,2.8,0.8,0.5,"12,195,122"
25,Onyeka Okongwu,20.7,0,4.7,0,3.3,5.9,1.1,0.6,1.3,"6,104,280"
26,Jusuf Nurkić,28.2,1,9.7,0.3,5.5,11.1,2.8,1.1,0.6,"12,000,000"
27,Nerlens Noel,22.5,0.1,2.3,0,1.3,5.6,0.9,1.2,1.2,"8,800,000"
28,Mike Muscala,13.8,3.8,2,1.6,1,3,0.5,0.4,0.6,"3,500,000"
29,Greg Monroe,13.9,0,4.1,0,2.3,4.6,1.6,0.6,0.7,"55,208"
30,Chimezie Metu,21.3,3.1,4.4,1,2.4,5.6,1,0.9,0.5,"1,762,796"
31,JaVale McGee,15.8,0.1,6.1,0,3.9,6.7,0.6,0.3,1.1,"5,000,000"
32,Robin Lopez,17,0.2,5.4,0.1,3,3.5,1.5,0.1,0.5,"5,000,000"
33,Brook Lopez,22.9,4.1,6,1.5,3.2,4.1,0.5,0.6,1.2,"13,302,325"
34,Kevon Looney,21.1,0,4.4,0,2.5,7.3,2,0.6,0.6,"5,178,572"
35,Alex Len,15.9,0.5,4,0.2,2.3,4.1,1.2,0.3,0.6,"3,731,707"
36,Jock Landale,10.9,1.6,2.1,0.5,1.3,2.6,0.8,0.2,0.3,"925,258"
37,Frank Kaminsky,20.1,1.7,5.7,0.6,3.4,4.6,1.4,0.9,0.8,"2,089,448"
